Test Time(ms),Current(A),Inlet Temp,Outlet Temp,Thermocouple Temperature,Average Tab Temp,Test Time (s)
7498480,14.016,27.9564738,28.4071942,25.3367,28.181834,1426.25
7499480,14.016,28.0037899,28.4249854,25.3482,28.21438765,1427.25
7500480,14.0159,27.9528341,28.3940626,25.2861,28.17344835,1428.25
7501480,14.0158,27.9044475,28.3711882,25.2711,28.13781785,1429.25
7502480,14.0159,27.9459829,28.518601,25.3107,28.23229195,1430.25
7503480,14.016,27.7901181,28.366105,25.3956,28.07811155,1431.25
7504480,14.0159,28.1112681,28.506952,25.3127,28.30911005,1432.25
7505480,14.0158,27.9337792,28.5092818,25.341,28.2215305,1433.25
7506480,14.0159,27.7560762,28.5315208,25.3348,28.1437985,1434.25
7507480,14.0159,27.9110846,28.3847434,25.3657,28.147914,1435.25
7508480,14.0159,28.0177064,28.4802652,25.3449,28.2489858,1436.25
7509480,14.016,27.7672094,28.2712186,25.3382,28.019214,1437.25
7510480,14.0161,28.0033617,28.3868614,25.3117,28.19511155,1438.25
7511480,14.0158,27.8277997,28.3786012,25.3806,28.10320045,1439.25
7512480,14.0159,27.6132715,28.5569368,25.3181,28.08510415,1440.25
7513480,14.0159,27.7006243,28.3906738,25.3888,28.04564905,1441.25
7514480,14.0159,27.650739,28.313155,25.3909,27.981947,1442.25
7515480,14.0159,28.0588136,28.4118538,25.3758,28.2353337,1443.25
7516480,14.0158,27.672149,28.2635938,25.3911,27.9678714,1444.25
7517480,14.0158,27.6779297,28.3457722,25.3294,28.01185095,1445.25
7518480,14.0159,27.6107023,28.5698566,25.36,28.09027945,1446.25
7519480,14.0161,28.0748711,28.4912788,25.3767,28.28307495,1447.25
7520480,14.0159,27.9699621,28.6399624,25.3903,28.30496225,1448.25
7521480,14.0158,28.0149231,28.232671,25.3593,28.12379705,1449.25
7522480,14.016,27.772776,28.4563318,25.3577,28.1145539,1450.25
7523480,14.0159,27.9551892,28.429645,25.4132,28.1924171,1451.25
7524480,14.016,28.0277691,28.3425952,25.293,28.18518215,1452.25
7525480,14.0158,28.0391164,28.275031,25.3384,28.1570737,1453.25
7526480,14.016,27.7460135,28.5635026,25.3304,28.15475805,1454.25
7527480,14.016,27.6558774,28.4874664,25.3903,28.0716719,1455.25
7528480,14.0158,27.9592571,28.1668012,25.3572,28.06302915,1456.25
7529480,14.0161,27.5738771,28.2932458,25.3808,27.93356145,1457.25
7530480,14.016,27.9061603,28.4548492,25.3117,28.18050475,1458.25
7531480,14.016,27.6458147,28.460356,25.3282,28.05308535,1459.25
7532480,14.016,27.9977951,28.6683436,25.3788,28.33306935,1460.25
7533480,14.016,27.9977951,28.6683436,25.3788,28.33306935,1461.25
7534480,14.0159,27.6104882,28.6577536,25.4012,28.1341209,1462.25
7535480,14.0159,27.6927026,28.5774814,25.377,28.135092,1463.25
7536480,14.0159,27.8359355,28.5832,25.4036,28.20956775,1464.25
7537480,14.0159,27.8359355,28.5832,25.4036,28.20956775,1465.25
7538480,14.0159,27.980453,28.281385,25.3803,28.130919,1466.25
7539480,14.0161,27.5747335,28.69969,25.3621,28.13721175,1467.25
7540480,14.0157,27.7691363,28.6422922,25.4324,28.20571425,1468.25
7541480,14.0158,27.5535376,28.3616572,25.3726,27.9575974,1469.25
7542480,14.0159,27.4599759,28.408465,25.479,27.93422045,1470.25
7543480,14.0161,27.6772874,28.2722776,25.4474,27.9747825,1471.25
7544480,14.016,28.014709,28.3267102,25.4398,28.1707096,1472.25
7545480,14.0159,27.4942319,28.63615,25.3719,28.06519095,1473.25
7546480,14.0159,27.5678823,28.4002048,25.3813,27.98404355,1474.25
7547480,14.0159,27.6552351,28.6156054,25.3502,28.13542025,1475.25
7548480,14.0161,27.5732348,28.2968464,25.3857,27.9350406,1476.25
7549480,14.0158,27.4867384,28.3758478,25.4225,27.9312931,1477.25
7550480,14.016,27.4890935,28.1720962,25.3682,27.83059485,1478.25
7551480,14.0158,27.5430467,28.5976024,25.4107,28.07032455,1479.25
7552480,14.0159,27.648598,28.2133972,25.4297,27.9309976,1480.25
7553480,14.0158,27.9425573,28.206196,25.4423,28.07437665,1481.25
7554480,14.016,27.5839398,28.4018992,25.376,27.9929195,1482.25
7555480,14.0159,27.4482004,28.3256512,25.4029,27.8869258,1483.25
7556480,14.0158,27.539407,28.2430492,25.4224,27.8912281,1484.25
7557480,14.016,27.4576208,28.1909464,25.4642,27.8242836,1485.25
7558480,14.0157,27.5505402,28.1655304,25.4052,27.8580353,1486.25
7559480,14.0159,27.7066191,28.4792062,25.5022,28.09291265,1487.25
7560480,14.0159,27.4950883,28.2542746,25.4764,27.87468145,1488.25
7561480,14.0159,27.6145561,28.2915514,25.52,27.95305375,1489.25
7562480,14.0159,27.5169265,28.0839874,25.413,27.80045695,1490.25
7563480,14.0159,27.8650531,28.2862564,25.511,28.07565475,1491.25
7564480,14.0158,28.0037899,28.5022924,25.415,28.25304115,1492.25
7565480,14.0158,27.6580184,28.2150916,25.4486,27.936555,1493.25
7566480,14.0159,27.6989115,28.3084954,25.4616,28.00370345,1494.25
7567480,14.0159,27.7704209,28.2727012,25.437,28.02156105,1495.25
7568480,14.0159,27.7102588,28.5253786,25.3806,28.1178187,1496.25
7569480,14.0159,27.8943848,28.3680112,25.5199,28.131198,1497.25
7570480,14.0159,27.6554492,28.624501,25.4358,28.1399751,1498.25
7571480,14.0158,27.6301854,28.2953638,25.3933,27.9627746,1499.25
7572480,14.016,27.7485827,28.224199,25.4043,27.98639085,1500.25
7573480,14.0159,27.8571314,28.4048644,25.5237,28.1309979,1501.25
7574480,14.0158,27.9564738,28.2362716,25.5127,28.0963727,1502.25
7575480,14.0159,28.0757275,28.3620808,25.4262,28.21890415,1503.25
7576480,14.0158,27.5805142,28.2184804,25.4293,27.8994973,1504.25
7577480,14.0158,27.5837257,28.3891912,25.451,27.98645845,1505.25
7578480,14.0158,27.9232883,28.3949098,25.4577,28.15909905,1506.25
7579480,14.0158,27.6976269,28.2328828,25.4273,27.96525485,1507.25
7580480,14.0159,27.7607864,28.4061352,25.4558,28.0834608,1508.25
7581480,14.0158,27.6841386,28.3796602,25.5289,28.0318994,1509.25
7582480,14.0158,28.0592418,28.4213848,25.516,28.2403133,1510.25
7583480,14.0158,28.0102129,28.3675876,25.4984,28.18890025,1511.25
7584480,14.0159,27.6351097,28.2546982,25.478,27.94490395,1512.25
7585480,14.0158,27.5353391,28.574728,25.4184,28.05503355,1513.25
7586480,14.0159,27.7201074,28.5956962,25.4577,28.1579018,1514.25
7587480,14.0159,27.5755899,28.3368766,25.5194,27.95623325,1515.25
7588480,14.0158,27.727815,28.7594176,25.4731,28.2436163,1516.25
7589480,14.0158,27.9506931,28.5954844,25.5279,28.27308875,1517.25
7590480,14.0158,27.8417162,28.2309766,25.4968,28.0363464,1518.25
7591480,14.0157,27.7398046,28.321627,25.4819,28.0307158,1519.25
7592480,14.0158,27.6719349,28.2648646,25.5411,27.96839975,1520.25
7593480,14.0159,27.6961282,28.31845,25.4909,28.0072891,1521.25
7594480,14.0159,27.6513813,28.1687074,25.4133,27.91004435,1522.25
7595480,14.0159,27.929069,28.175485,25.5179,28.052277,1523.25
7596480,14.0159,27.9710326,28.1445622,25.5147,28.0577974,1524.25
7597480,14.0158,27.9112987,28.2002656,25.5744,28.05578215,1525.25
7598480,14.0159,27.7293137,28.2330946,25.4975,27.98120415,1526.25
7599480,14.0157,27.6340392,28.5215662,25.6038,28.0778027,1527.25
7600480,14.0158,27.5203521,28.7119744,25.5586,28.11616325,1528.25
7601480,14.0159,27.7817682,28.3620808,25.5436,28.0719245,1529.25
